title,price,sell_date,no_views,no_watchers,no_comments,no_bids,seller_state,year,series,miles,engine,trans,exterior,interior,misc,url
1987 Toyota Land Cruiser FJ60,"16,500",9/19/2018,"12,063",529,73,6,"lees summit, missouri 64081",1987,fj60,192k,4.2-liter straight-six,manual,nan,nan,"['chassis: jt3fj60g5h1135900', '192k miles shown', '4.2-liter straight-six', '4-speed manual gearbox', 'new 2-speed transfer case', 'recent service', 'longterm california truck', 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-13/
1984 Toyota Land Cruiser FJ60,"37,500",9/6/2018,"14,828",527,70,25,"moorpark, california 93021",1984,fj60,97k,rebuilt 4.2-liter straight-six,manual,nan,nan,"['chassis: fj60-112674', '97k miles shown', 'rebuilt 4.2-liter straight-six', '4-speed manual gearbox', 'factory air conditioning', '2"" ironman suspension lift', 'arb front bumper', '31"" bfgoodrich tires', 'con-ferr roof rack w/camping lab awning', 'partial records', 'clean carfax report']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-15/
1988 Toyota Land Cruiser,"13,750",9/5/2018,"15,513",618,19,24,"boone, north carolina 28607",1988,,197k,4.0-liter inline-six,automatic,nan,nan,"['chassis: jt3fj62g2j0084056', '197k miles shown', '4.0-liter inline-six', '4-speed automatic transmission', 'engine rebuilt in 2018', 'new alternator in 2018', '2"" suspension lift', 'aftermarket wheels & tires', 'partial records', 'clean carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-19/
1988 Toyota Land Cruiser FJ62,"18,250",9/3/2018,"8,173",398,22,7,"johnston, iowa 50131",1988,fj62,"170,700",4.0l inline-six,automatic,glass-out repaint in 2012,dark grey metallic/grey cloth interior,"['chassis: jt3fj62gxj0089652', 'approximately 170,700 miles shown', '4.0l inline-six', '4-speed automatic transmission', 'glass-out repaint in 2012', 'dark grey metallic/grey cloth interior', 'procar front seats', 'led interior lighting', 'service records to 2006', 'longterm original ownership', 'clean carfax', 'partial records']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62/
No Reserve: 1989 Toyota Land Cruiser FJ62,"14,000",8/29/2018,"13,537",531,35,15,"birmingham, alabama 35233",1989,fj62,231k,4.0-liter 3f-e inline-six,automatic,beige metallic over beige cloth interior,nan,"['chassis: jt3fj62g0k1106776', '231k indicated miles', '4.0-liter 3f-e inline-six', '4-speed automatic transmission', 'beige metallic over beige cloth interior', 'new bfgoodrich 31""x10.50"" ko2 tires', 'engine resealed, fluids changed in 2017', 'accident-free carfax']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-14/
1989 Toyota Land Cruiser FJ62,"12,000",8/16/2018,"11,446",433,50,20,"bryan, texas 77802",1989,fj62,294k,4.2l inline-six,automatic,repainted in 2003,nan,"['chassis: jt3fj62g6k1107480', '294k miles shown', '4.2l inline-six', 'rebuilt 4-speed automatic', 'repainted in 2003', 'r134 a/c conversion in 2009', 'newer belts and spark plugs', '18 years of records', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-12/
1990 Toyota Land Cruiser FJ62,"27,500",7/26/2018,"16,360",528,93,10,"austin, texas 78722",1990,fj62,157k,4.0l 3f inline-six,automatic,nan,leather seats,"['chassis: jt3fj62g9l1118183', 'two owners from new', '157k indicated miles', '4.0l 3f inline-six', 'rebuilt 4-speed automatic transmission', 'ironman 2"" lift kit', '33"" bfgoodrich all-terrain tires', 'leather seats', 'original purchase paperwork', 'service records']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-10/
1983 Toyota Land Cruiser FJ60,"23,000",7/18/2018,"24,751",720,105,25,"murfreesboro, tennessee 37128",1983,fj60,236k,"4.2l 2f inline-six bored .050"" over",manual,nan,nan,"['chassis: jt3fj60g7d0070614', '236k reported chassis miles', '2k miles on mechanical refurbishment', '4.2l 2f inline-six bored .050"" over', 'rebuilt transfer case, third members', 'rebuilt 4-speed manual transmission', 'overhauled suspension & steering', 'clean carfax report']",https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-5/
1986 Toyota Land Cruiser FJ60,"24,250",6/13/2018,"14,227",566,52,32,"castro valley, california 94546",1986,fj60,193k,rebuilt 4.2-liter 2f inline-six,manual,complete repaint,nan,"['chassis: jt3fj60g6g1133345', '193k miles shown', 'rebuilt 4.2-liter 2f inline-six', '4-speed manual gearbox', '2-speed transfer case', 'new gaskets, seals, valve springs', 'new water pump, thermostat', 'rebuilt clutch assembly', 'rebuilt power steering pump', 'complete repaint', 'invoice for engine rebuild', 'accident-free carfax report']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-6/
1987 Toyota Land Cruiser FJ60,"11,000",6/6/2018,"10,323",400,37,7,"dayton, oregon 97114",1987,fj60,142k,4.2-liter inline-six,manual,nan,nan,"['chassis: jt3fj60g8h1135485', '142k miles shown', '4.2-liter inline-six', '4-speed manual gearbox', 'dual-range transfer case', 'manual front hubs', 'air conditioning', 'new power steering box', 'extra set of wheels & tires', 'records to 2009']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-11/
No Reserve: 1990 Toyota Land Cruiser FJ62,"9,976",5/16/2018,"12,777",480,34,8,"englewood, colorado 80110",1990,fj62,"260,900",4.0 liter 3f-e inline-six,automatic,nan,new seat upholstery,"['chassis: jt3fj62g0l1121151', '260,900 miles', '4.0 liter 3f-e inline-six', '4-speed a440f automatic', 'new suspension components', 'new exhaust', 'new seat upholstery', 'new rear carpets', 'carfax report']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-hj75-troop-carrier/
1983 Toyota Land Cruiser FJ60,"13,750",5/9/2018,"15,538",604,41,23,"needham, massachusetts 02492",1983,fj60,"177,268",nan,manual,nan,nan,"['chassis: jt3fj60g5d0057408', '177,268 miles', '2f 4.2l i6', '4-speed manual transmission', 'oem 4x4 transfer case', 'extensive mechanical/cosmetic mintenance', ""owner's manual included"", 'clean carfax']",https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-4/
1987 Toyota Land Cruiser FJ60,"7,100",4/27/2018,"15,919",493,24,8,"rapid city, south dakota 57703",1987,fj60,218k,4.2-liter 2f inline-six,manual,nan,nan,"['chassis: jt3fj60g6h1139079', '218k miles shown', '4.2-liter 2f inline-six', '4-speed manual gearbox', 'rebuilt carburetor', 'new 3-core radiator, cooling parts', 'new gaskets, seals, bearings', 'new spark plugs, wires, cap, rotor', 'new centerforce clutch', 'rebuilt brakes, steering', 'old man emu lift']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-12/
No Reserve: 1990 Toyota Land Cruiser FJ62,"9,100",4/26/2018,"13,899",525,37,28,"la mesa, california 91941",1990,fj62,"333,446",4.0-liter 3f-e inline-six,automatic,repainted in 2004,nan,"['chassis: jt3fj62g5l1118049', '333,446 miles shown', '4.0-liter 3f-e inline-six', '4-speed automatic transmission', 'repainted in 2004', 'new starter and o2 sensors', 'new kyb gas-a-just shocks', 'recent a/c system conversion', 'records from current owner', 'clean carfax']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-5/
1990 Toyota Land Cruiser FJ62,"15,785",4/5/2018,"15,356",531,26,19,"santa barbara, california 93109",1990,fj62,201k,4.0-liter inline-six,automatic,nan,nan,"['chassis: jt3fj63g5l1121002', '201k miles shown', '4.0-liter inline-six', '4-speed automatic transmission', '2"" suspension lift', 'fresh bfgoodrich ko2 tires', 'new battery, alternator, drive belts', 'recent oil/filter change', 'clean autocheck report']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-7/
1988 Toyota Land Cruiser FJ62,"13,250",2/23/2018,"20,385",425,31,20,"olive branch, mississippi 38654",1988,fj62,"208,160",4.0 liter 3f-e inline-six,automatic,nan,new seat upholstery,"['chassis: jt3fj62g8j0095790', '208,160 miles', '4.0 liter 3f-e inline-six', '4-speed a440f automatic', 'old man emu suspension', 'new seat upholstery', 'new carpets', 'detailed records', '2017 major service', 'clean carfax']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-14/
1984 Toyota Land Cruiser FJ60,"8,500",2/20/2018,"22,216",506,93,11,"pensacola, florida 32503",1984,fj60,173k,4.2-liter 2f inline-six,manual,repaint in white,new upholstery,"['chassis: jt3fj60g5e0094752', '173k miles', '4.2-liter 2f inline-six', '4-speed manual transmission', 'recent refurbishment', 'repaint in white', 'new upholstery', 'old man emu lift', 'new 35"" bfg all-terrains']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-11/
1987 Toyota Land Cruiser FJ60,"12,250",2/5/2018,"13,183",397,22,16,"santa rosa, california",1987,fj60,"227,171",rebuilt 4.2l 2f inline-six,manual,nan,nan,"['chassis: jt3fj60g9h1136936', '227,171 miles shown', 'rebuilt 4.2l 2f inline-six', 'replacement 4-speed manual', '2k miles since engine rebuild', 'rebuilt transfer case', 'aftermarket stereo', 'passed california smog test in november', 'records from the seller', 'clean carfax']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-9/
1988 Toyota Land Cruiser FJ62,"21,900",1/22/2018,"22,436",570,59,43,"ventura, california 93001",1988,fj62,168k,fuel-injected 4.0l straight-six,automatic,nan,nan,"['chassis: jt3fj62g070076294', 'california truck since 1990', 'early fj62 with 168k indicated miles', 'fuel-injected 4.0l straight-six', '4-speed\xa0automatic transmission', '2-speed transfer case', 'aftermarket stereo, rancho shocks', 'clean autocheck report', 'clear california title']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-13/
No Reserve: 1987 Toyota Land Cruiser FJ60,"11,650",1/18/2018,"16,622",476,31,11,"lake oswego, oregon 97034",1987,fj60,"201,875",rebuilt 2f 4.2 liter inline six-cylinder engine,manual,older repaint,nan,"['chassis: jt4fj60v2h1136822', '201,875 miles', 'rebuilt 2f 4.2 liter inline six-cylinder engine', 'rebuilt 4-speed manual transmission', 'rebuilt transfer case', 'complete service history', 'two-owner example', 'new tires', 'older repaint', 'recent mechanical sorting', 'spares included']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-8/
1985 Toyota Land Cruiser FJ60,"18,855",12/27/2017,"23,499",527,75,37,"portland, maine 04103",1985,fj60,"190,471",4.2l 2f inline-six engine,nan,repainted in 2017,nan,"['chassis: jt3fj60g4f1132533', '190,471 miles', '4.2l 2f inline-six engine', '4-speed transmission', 'rebuilt alternator', 'new water pump and thermostat', 'updated suspension and new tires', 'repainted in 2017', 'clean carfax', 'service history from 2008 to present']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-9/
