title,price,sell_date,no_views,no_watchers,no_comments,no_bids,seller_state,year,series,miles,engine,trans,exterior,interior,misc,url
1987 Toyota Land Cruiser FJ60,"19,000",3/22/2022,"9,610",685,24,22,"augusta, georgia 30909",1987,fj60,342k,4.2-liter inline-six,manual,red paint,gray upholstery,"['chassis: jt4fj60v6h11137875', '342k miles shown', '4.2-liter inline-six', 'carburetor rebuilt in 2021', 'four-speed manual transmission', 'two-speed transfer case', 'red paint', 'gray upholstery', 'rear heater', 'roof rack', 'receiver hitch', 'manually locking front hubs', '15"" wheels w/ 31"" ironman tires', 'aftermarket bluetooth stereo', 'spare & removed parts', 'tool kit', 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-109/
1987 Toyota Land Cruiser FJ60 4-Speed,"50,750",3/19/2022,"7,159",544,46,35,"elma, washington 98541",1987,fj60,77k,4.2-liter inline-six,manual,beige paint,beige cloth & brown vinyl upholstery,"['chassis: jt4fj60v1h1138030', '77k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'two-speed transfer case', 'manually locking front hubs', 'beige paint', 'beige cloth & brown vinyl upholstery', 'chrome 15"" wheels', 'am/fm radio', 'air conditioning', 'window sticker']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-107/
1989 Toyota Land Cruiser FJ62,"22,500",3/19/2022,"8,939",625,39,23,"orlando, florida 32827",1989,fj62,205k,4.0-liter inline-six,automatic,beige metallic paint,brown vinyl upholstery,"['chassis: jt3fj62g9k1112723', '205k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'beige metallic paint', 'brown vinyl upholstery', '15"" polished steel wheels', 'chrome bumpers and mirrors', 'dobinsons suspension lift', 'manually locking front hubs', 'air conditioning', 'power windows and locks']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-132/
No Reserve: 1988 Toyota Land Cruiser FJ62,"13,250",3/16/2022,"9,130",635,17,44,"hyattsville, maryland 20781",1988,fj62,228k,4.0l 3f-e inline-six,automatic,beige metallic paint,beige cloth upholstery,"['chassis: jt3fj62g4j0089372', '228k miles shown', '4.0l 3f-e inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'beige metallic paint', 'beige cloth upholstery', 'r134a-converted air conditioning', 'locking front hubs', 'rear heater', 'roof rack', 'split tailgate', 'power windows, locks, & mirrors', 'jensen stereo', 'recent service records']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-93/
No Reserve: 1984 Toyota Land Cruiser FJ60,"33,000",3/14/2022,"9,150",580,36,15,"corrales, new mexico 87048",1984,fj60,103k,4.2-liter inline-six,manual,refinished in copper metallic,brown cloth & vinyl upholstery,"['chassis: jt3fj60g4e1127105', '103k miles', '4.2-liter inline-six', '4-speed manual transmission ', 'dual-range transfer case', 'refinished in copper metallic', 'brown cloth & vinyl upholstery', '16"" alloy wheels', 'old man emu lift kit', 'gamiviti roof rack', 'led headlights', 'air conditioning', 'kenwood stereo', ""owner's manual"", 'carfax report']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-73/
1986 Toyota Land Cruiser FJ60,"24,250",3/11/2022,"9,584",703,25,33,"fort smith, arkansas 72901",1986,fj60,178k,4.2-liter inline-six,manual,refinished in blue,patterned gray cloth upholstery,"['chassis: jt3fj60g4g1134851', '178k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'two-speed transfer case', 'refinished in blue', 'patterned gray cloth upholstery', 'overhauled air-conditioning system', '15"" chrome wheels w/31"" tires', 'manually locking front hubs', 'panasonic cassette stereo', 'aftermarket roof rack w/driving lights', 'carpets recently replaced', 'clean carfax report']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-46/
1988 Toyota Land Cruiser FJ62,"19,000",3/9/2022,"9,567",607,31,10,"los angeles, california 90041",1988,fj62,210k,rebuilt 4.0-liter 3f-e inline-six,automatic,repainted blue,brown vinyl and tan patterned cloth,"['chassis: jt3fj62g1j0078135', '210k miles shown', 'rebuilt 4.0-liter 3f-e inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'repainted blue', 'brown vinyl and tan patterned cloth', 'polished 15"" steel wheels', 'manually lockable front hubs', 'kenwood cd stereo', 'air conditioning', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-91/
1984 Toyota Land Cruiser FJ60,"22,750",3/7/2022,"5,692",485,26,28,"dothan, alabama 36305",1984,fj60,118k,4.2-liter inline-six,manual,metallic copper paint,tan cloth upholstery,"['chassis: jt3fj60g6e1111620', '118k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'metallic copper paint', 'tan cloth upholstery', 'howell fuel injection', 'chrome-finished 15"" wheels', 'manually locking front hubs', 'am/fm radio', 'clean carfax report']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-68/
1985 Toyota Land Cruiser BJ60 Diesel 5-Speed,"48,500",3/6/2022,"10,073",754,35,47,"wilson, north carolina 27893",1985,bj60,58k,3.4-liter diesel inline-four,manual,repainted in metallic gray ,gray cloth & vinyl upholstery ,"['chassis: jt3bj60g9f0016605', 'imported from costa rica ', 'left-hand drive', '94k kilometers (~58k miles) shown \xa0', '3.4-liter diesel inline-four', '5-speed manual transmision ', '2-speed transfer case ', 'repainted in metallic gray ', 'gray cloth & vinyl upholstery ', 'aftermarket front bumper & side steps', 'roof basket ', 'dual battery system ', 'kenwood audio components ']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-106/
1990 Toyota Land Cruiser FJ62,"35,000",2/24/2022,"11,159",680,68,33,"newberg, oregon 97132",1990,fj62,176k,4.0-liter inline-six,automatic,beige metallic paint,tan & brown upholstery,"['chassis: jt3fj62g8l1121091', '176k miles shown, tmu', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'beige metallic paint', 'tan & brown upholstery', 'arb front bumper', 'roof rack', '4plus dual swing-out rear bumper', 'old man emu suspension', 'fj40-style 16"" wheels w/33"" tires', 'air conditioning', 'aftermarket stereo', 'accident-free carfax report']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-54/
1982 Toyota Land Cruiser FJ60,"27,000",2/22/2022,"9,438",614,34,20,"palo cedro, california 96073",1982,fj60,241k,4.2-liter inline six,manual,brown paint w/contrasting stripes,tan cloth w/brown vinyl upholstery,"['chassis: jt3fj60g6c0026490', '241k miles shown', '4.2-liter inline six', 'four-speed manual transmission', 'dual-range transfer case', 'brown paint w/contrasting stripes', 'tan cloth w/brown vinyl upholstery', '15"" steel wheels', 'old man emu suspension lift', 'receiver hitch', 'air conditioning', 'pioneer head unit', ""owner's manual"", 'partial service records', 'clean carfax report']",https://bringatrailer.com/listing/1982-toyota-land-cruiser-fj60-11/
Cummins-Powered 1983 Toyota Land Cruiser FJ60 4-Speed,"43,500",2/20/2022,"25,420","1,305",91,37,"long beach, california 90815",1983,fj60,164k,cummins 3.9-liter turbodiesel inline-four,manual,tan paint,tan vinyl upholstery,"['chassis: jt3fj60g2d0056698', '164k miles shown', 'cummins 3.9-liter turbodiesel inline-four', 'four-speed manual transmission', 'dual-range transfer case', 'ranger torque splitter', 'tan paint', 'tan vinyl upholstery', '15"" steel wheels w/33"" tires', 'arb front bumper w/winch', 'engine snorkel', 'air conditioning', 'kenwood bluetooth stereo', 'lockable center console', 'usb ports', 'spare parts', 'service records', 'carfax report']",https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-40/
LS3-Powered 1989 Toyota Land Cruiser FJ62,"100,000",2/19/2022,"16,327",839,46,40,"chapel hill, north carolina 27516",1989,fj62,6k,6.2l ls3 v8 ,automatic,two-tone gray,brown and beige interior,"['chassis: jt3fj62g3k1105833', '6k miles shown, tmu', '6.2l ls3 v8 ', '4l65/70e automatic transmission', 'dual-range transfer case', 'two-tone gray', 'brown and beige interior', 'aftermarket 15"" wheels', 'old man emu suspension components', 'magnaflow exhaust system', 'smittybilt winch', 'aftermarket steel bumpers', 'hella led fog lights', 'climate-controlled recaro bucket seats', 'pioneer touchscreen head unit', 'accident-free carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-125/
No Reserve: 1988 Toyota Land Cruiser FJ62,"34,250",2/18/2022,"8,334",606,30,27,"noblesville, indiana 46062",1988,fj62,262k,4.0-liter inline-six,automatic,repainted in gold ,beige cloth & brown vinyl upholstery,"['chassis: jt3fj62g3j0088648', '262k miles shown ', '4.0-liter inline-six', '4-speed automatic transmisison', 'dual-range transfer case', 'repainted in gold ', 'beige cloth & brown vinyl upholstery', 'old man emu suspension', 'aftermarket audio components ', 'air conditioning', 'power windows & locks', 'carfax report ']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-88/
Modified 1981 Toyota Land Cruiser FJ60 5-Speed,"23,250",2/18/2022,"13,875",762,63,10,"chandler, arizona 85286",1981,fj60,59k,5.7-liter vortec v8,manual,gray paint ,brown vinyl upholstery ,"['chassis: fj60005711', '94k kilometers (~59k miles) shown, tmu ', '5.7-liter vortec v8', 'five-speed manual transmission', 'dual-range transfer case', 'gray paint ', 'brown vinyl upholstery ', 'holley carburetor', '15"" alloy wheels w/35"" tires ', 'warn winch ', 'steel bumpers ', 'swing-away rear tire mount ', 'safari snorkel ', 'aftermarket cd stereo ', 'cb radio ', 'air conditioning ', 'power windows', 'import documents ']",https://bringatrailer.com/listing/1981-toyota-land-cruiser-fj60-7/
1988 Toyota Land Cruiser FJ62,"36,000",2/17/2022,"10,706",724,41,27,"houston, texas 77079",1988,fj62,201k,4.0-liter inline-six,automatic,white paint,gray vinyl and cloth upholstery,"['chassis: jt3fj62gxj0087500', '201k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'white paint', 'gray vinyl and cloth upholstery', 'dual-range transfer case', '15"" alloy wheels', 'receiver hitch', 'power windows and locks', 'air conditioning', 'aftermarket cd stereo', 'jack and toolkit', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-90/
TLC 4×4-Modified 1989 Toyota Land Cruiser FJ62,"97,000",2/11/2022,"19,315",829,65,37,"statesville, north carolina 28677",1989,fj62,246k,4.0-liter inline-six,automatic,white paint,gray vinyl upholstery,"['chassis: jt3fj62gxk1103240', '246k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'arb front & rear air lockers', 'white paint', 'gray vinyl upholstery', 'arb air compressor', 'manually locking hubs', 'black powder-coated aftermarket bumpers', 'old man emu suspension', '17"" trd pro wheels', 'magnaflow muffler', 'icon front seats', 'tuffy locking console', 'pioneer stereo & navigation', 'air conditioning', ""manufacturer's literature & service records"", 'accident-free carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-130/
1989 Toyota Land Cruiser FJ62,"13,500",2/11/2022,"8,724",538,24,34,"san diego, california 92128",1989,fj62,391k,4.0-liter 3f-e inline-six,automatic,beige metallic paint,beige cloth upholstery,"['chassis: jt3fj62g9k1107313', '391k miles shown', '4.0-liter 3f-e inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'beige metallic paint', 'beige cloth upholstery', '15"" chrome wheels', 'manually-locking front hubs', 'receiver hitch', 'rear heater', 'jvc head unit w/usb', 'spare parts', 'roof rack included']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-122/
1988 Toyota Land Cruiser FJ62,"56,000",2/10/2022,"8,778",665,47,47,"phoenix, arizona 85018",1988,fj62,136k,4.0-liter 3f-e inline-six,automatic,light blue & dark gray paint,gray cloth upholstery,"['chassis: jt3fj62g4j0084138', '136k miles shown', '4.0-liter 3f-e inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'light blue & dark gray paint', 'gray cloth upholstery', '15"" wheels', 'roof rails & cross bars', 'air conditioning', 'power locks & windows', 'am/fm/cd/cassette stereo', 'accident-free carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-89/
1984 Toyota Land Cruiser FJ60,"21,000",2/9/2022,"9,176",677,22,28,"pasco, washington 99301",1984,fj60,241k,4.2-liter inline-six,manual,blue paint,gray vinyl and cloth upholstery,"['chassis: jt3fj60g8e1113627', '241k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer caswe', 'blue paint', 'gray vinyl and cloth upholstery', 'arb front bumper', 'winch', 'old man emu lift kit', '17"" american racing wheels', 'aftermarket roof rack', 'hella lights', 'aftermarket head unit', ""manufacturer's literature"", 'clean carfax report']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-71/
1984 Toyota Land Cruiser FJ60,"17,250",2/8/2022,"11,378",852,35,46,"medford, oregon 97504",1984,fj60,196k,4.2-liter inline-six,manual,repainted metallic blue,gray upholstery,"['chassis: jt3fj60gxe1123480', '196k miles shown, tmu', '4.2-liter inline-six', '4-speed manual transmission ', 'two-speed transfer case ', 'repainted metallic blue', 'gray upholstery', 'polished 15"" wheels w/31"" cooper tires', 'manually-locking front hubs', 'suspension lift ', 'carfax report ']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-69/
1987 Toyota Land Cruiser FJ60 5-Speed,"25,000",2/7/2022,"9,710",737,16,19,"columbus, ohio 43202",1987,fj60,218k,4.2-liter inline-six,manual,beige metallic paint,light grey upholstery,"['chassis: jt3fj60gxh1137027', '218k miles shown', '4.2-liter inline-six', 'five-speed manual transmission', 'dual-range transfer case', 'beige metallic paint', 'light grey upholstery', 'old man emu suspension lift kit', 'locking front hubs', 'air conditioning', 'sony cd stereo', 'rear heater', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-104/
1FZ-Powered 1989 Toyota Land Cruiser FJ62 5-Speed,"29,000",2/7/2022,"13,581",917,27,30,"fort lauderdale, florida 33316",1989,fj62,200k,4.5-liter 1fz inline-six,manual,blue paint,tan leather upholstery,"['chassis: fj62110297', 'imported to us from colombia', 'left-hand drive', '322k kilometers (~200k miles) shown, tmu', '4.5-liter 1fz inline-six', 'five-speed manual transmission', 'dual-range transfer case', 'blue paint', 'tan leather upholstery', '15"" steel wheels', 'dobinsons suspension components', 'receiver hitch', 'air conditioning', 'pioneer touchscreen head unit', 'jl audio subwoofer']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-128/
1989 Toyota Land Cruiser FJ62,"19,500",2/6/2022,"11,911",809,19,18,"port ludlow, washington 98365",1989,fj62,288k,4.0-liter inline-six,automatic,blue paint,gray cloth upholstery,"['chassis: jt3fj62g3k1108540', '288k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'blue paint', 'gray cloth upholstery', '15"" chrome-finished wheels', 'receiver hitch', 'air conditioning', 'factory am/fm cassette stereo', ""owner's manual"", 'repair manual', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-124/
No Reserve: Vortec-Powered 1987 Toyota Land Cruiser FJ60,"51,500",2/5/2022,"15,336","1,076",49,44,"austin, texas 78735",1987,fj60,900,vortec 5.3l v8,automatic,silver paint,gray vinyl upholstery,"['chassis: jt4fj60v4h1137292', '900 miles shown, tmu', 'vortec 5.3l v8', '4l60e four-speed automatic transmission', 'dual-range transfer case', 'transmission cooler', 'silver paint', 'gray vinyl upholstery', '16"" cragar wheels', '3"" old man emu lift', 'air conditioning', 'pioneer/rockford-fosgate audio system', 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-105/
No Reserve: 1989 Toyota Land Cruiser FJ62,"23,500",2/3/2022,"8,968",742,12,41,"madison, tennessee 37115",1989,fj62,266k,4.0-liter inline-six     ,automatic,metallic beige paint ,adobe cloth & brown vinyl upholstery ,"['chassis: jt3fj62g2k1105855', '266k miles shown', '4.0-liter inline-six     ', 'four-speed automatic transmission', 'dual-range transfer case', 'metallic beige paint ', 'adobe cloth & brown vinyl upholstery ', 'chrome-finished 15"" steel wheels', 'aisin manually-locking front hubs', 'air conditioning ', 'toyota am/fm cassette stereo', 'power windows & door locks', ""manufacturer's literature & repair manuals"", 'carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-127/
1982 Toyota Land Cruiser FJ60,"16,000",2/1/2022,"8,598",628,14,11,"henrico, virginia 23229",1982,fj60,207k,4.2-liter inline six,manual,light blue metallic paint,tan cloth w/brown vinyl upholstery ,"['chassis: jt3fj60g8c0050998', '207k miles shown', '4.2-liter inline six', 'four-speed manual transmission', 'dual range transfer case', 'light blue metallic paint', 'tan cloth w/brown vinyl upholstery ', '15"" wheels', 'old man emu suspension lift', 'aftermarket kenwood cd stereo ', 'tool kit', ""manufacturer's literature"", 'clean carfax report']",https://bringatrailer.com/listing/1982-toyota-land-cruiser-fj60-10/
1986 Toyota Land Cruiser FJ60,"47,000",2/1/2022,"22,719","1,160",64,31,"berkeley, california 94705",1986,fj60,118k,4.2-liter inline-six,manual,beige metallic paint,brown & tan cloth upholstery,"['chassis: jt3fj60g5g1133918', '118k miles shown', '4.2-liter inline-six', '4-speed manual transmission', 'dual-range transfer case', 'beige metallic paint', 'brown & tan cloth upholstery', '15"" chrome wheels w/31"" tires', 'manually locking front hubs', 'air conditioning', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-22/
1984 Toyota Land Cruiser FJ60 5-Speed,"40,000",1/30/2022,"7,196",578,13,31,"evergreen, colorado 80439",1984,fj60,215k,replacement 4.2-liter inline-six,manual,refinished in orange w/ black accents,replacement brown upholstery,"['chassis: jt3fj60g4e1114614', '215k miles shown, tmu', 'replacement 4.2-liter inline-six', 'five-speed manual transmission', 'dual-range transfer case', 'arb air-locking front & rear differentials', '4.10:1 rear axle ratio', 'refinished in orange w/ black accents', 'replacement brown upholstery', 'j.w. speaker led headlights', 'arb front bumper', '16"" wheels', 'arb leaf springs', 'ome nitrocharger shocks', 'arb onboard air compressor', 'man a fre camshaft & carburetor', 'man a fre headers & exhaust system', 'kenwood stereo w/ subwoofer & alpine speakers', 'accident-free carfax report']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-70/
1989 Toyota Land Cruiser FJ62,"47,000",1/29/2022,"8,132",673,22,21,"mesa, arizona 85201",1989,fj62,206k,4.0-liter inline-six,automatic,white paint w/blue graphics,gray cloth & vinyl upholstery,"['chassis: jt3fj62g8k1105827', '206k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'white paint w/blue graphics', 'gray cloth & vinyl upholstery', 'manually locking hubs', '15"" wheels', 'am/fm cassette stereo', 'air conditioning', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-123/
1988 Toyota Land Cruiser FJ62,"35,250",1/27/2022,"9,062",625,41,10,"naples, florida 34103",1988,fj62,166k,4.0-liter inline-six,automatic,light blue & dark gray paint,gray cloth upholstery,"['chassis: jt3fj62g4j0074967', '166k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'light blue & dark gray paint', 'gray cloth upholstery', '15"" wheels', 'manually locking front hubs', 'old man emu shocks', 'air conditioning', 'aftermarket infotainment screen', 'folding third-row seats', 'carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-38/
1986 Toyota Land Cruiser FJ60 5-Speed,"17,250",1/25/2022,"9,368",644,33,18,"sacramento, california 95816",1986,fj60,296k,4.2-liter 2f inline-six,manual,white paint,multi-tone cloth upholstery,"['chassis: jt3fj60g2g1134170', '296k miles shown', '4.2-liter 2f inline-six', 'five-speed h55f manual transmission', 'dual-range transfer case', 'white paint', 'multi-tone cloth upholstery', 'hj61-sourced front suspension seats', 'lifted suspension w/ ome shocks', '15"" wheels', 'receiver hitch', '48.5-gallon arb fuel tank', 'led lighting', 'kenwood stereo w/ focal speakers', 'spare & removed parts', 'accident-free carfax report']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-43/
1986 Toyota Land Cruiser FJ60,"66,000",1/24/2022,"16,888",946,60,50,"klamath falls, oregon 97601",1986,fj60,119k,4.2-liter 2f inline-six,manual,dark blue metallic paint,gray cloth and vinyl upholstery,"['chassis: jt3fj60g5g1134602', '119k miles shown', '4.2-liter 2f inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'dark blue metallic paint', 'gray cloth and vinyl upholstery', 'chrome 15"" six-spoke wheels', 'old man emu steering stabilizer', 'am/fm radio', 'air conditioning', 'window sticker', 'partial service records', 'clean carfax report']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-21/
Vortec-Powered 1985 Toyota Land Cruiser FJ60,"29,000",1/22/2022,"13,032",851,28,33,"flagstaff, arizona 86004",1985,fj60,277k,replacement 5.7-liter vortec v8,automatic,white paint,gray cloth & vinyl upholstery,"['chassis: jt3fj60g9f1129918', '277k miles shown', 'replacement 5.7-liter vortec v8', 'four-speed 4l60e automatic transmission', 'dual-range transfer case', 'white paint', 'gray cloth & vinyl upholstery', '15"" wheels', '3"" old man emu lift kit', 'gobi roof rack', 'tjm yulara rooftop tent', 'air conditioning', 'kenwood stereo', 'window sticker & service records', 'clean carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-100/
1983 Toyota Land Cruiser FJ60,"32,000",1/17/2022,"14,005",967,48,41,"rumson, new jersey 07760",1983,fj60,136k,rebuilt 4.2-liter inline-six,manual,copper metallic exterior ,brown vinyl & tan cloth upholstery,"['chassis: jt3fj60g0d0061916', '136k miles shown', 'rebuilt 4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'copper metallic exterior ', 'brown vinyl & tan cloth upholstery', '15"" chrome-finished wheels', 'old man emu leaf lift kit', 'pioneer cd sound system', 'air conditioning', 'recently replaced exhaust system ', 'tool kit', 'service history', 'accident-free carfax report']",https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-37/
1987 Toyota Land Cruiser FJ60 5-Speed,"49,750",1/16/2022,"18,473","1,016",148,67,"los angeles, california 90031",1987,fj60,100k,4.2-liter inline-six,manual,beige paint,brown cloth & vinyl upholstery,"['chassis: jt3fj60g8h1136748', '100k miles shown', '4.2-liter inline-six', '5-speed manual transmission', 'dual-range transfer case', 'beige paint', 'brown cloth & vinyl upholstery', 'air conditioning', 'refurbished am/fm stereo w/ aux input', 'clutch, rear main seal & vc gasket in 2021', ""manufacturer's literature"", 'carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-99/
1989 Toyota Land Cruiser FJ62,"28,500",1/13/2022,"3,465",226,9,6,"allendale, michigan 49401",1989,fj62,198k,4.0-liter inline-six,automatic,beige metallic paint,beige and brown upholstery,"['chassis: jt3fj62g8k0097993', '198k miles ', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'beige metallic paint', 'beige and brown upholstery', '15"" chrome wheels', 'air conditioning', 'toyota am/fm/cassette stereo', 'power windows and door locks', 'receiver hitch', 'window sticker', 'accident-free carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-119-2/
1988 Toyota Land Cruiser FJ62,"16,000",1/13/2022,"10,002",668,17,5,"north little rock, arkansas 72116",1988,fj62,72k,4.0l 3f-e inline-six,automatic,gray paint,gray cloth upholstery,"['chassis: jt3fj62g2j0086258', '72k miles shown, tmu', '4.0l 3f-e inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'gray paint', 'gray cloth upholstery', '15"" wheels', 'locking front hubs', 'jvc stereo', 'accident-free carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-86/
1989 Toyota Land Cruiser FJ62,"25,000",1/12/2022,"6,536",525,30,16,"allendale, michigan 49401",1989,fj62,198k,4.0-liter inline-six,automatic,beige metallic paint,beige and brown upholstery,"['chassis: jt3fj62g8k0097993', '198k miles ', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'beige metallic paint', 'beige and brown upholstery', '15"" chrome wheels', 'air conditioning', 'toyota am/fm/cassette stereo', 'power windows and door locks', 'receiver hitch', 'window sticker', 'accident-free carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-119/
1989 Toyota Land Cruiser FJ62,"83,000",1/11/2022,"22,568",999,65,32,"miami, florida 33139",1989,fj62,70k,4.0-liter 3f-e inline-six,automatic,red paint,gray patterned cloth upholstery,"['chassis: jt3fj62g1k0099214', '70k miles', '4.0-liter 3f-e inline-six', 'four-speed automatic transmission', 'red paint', 'gray patterned cloth upholstery', 'dual-range transfer case', 'chrome 15"" steel wheels', 'manually-locking hubs', 'receiver hitch', 'mud flaps', 'air conditioning', 'rear heater', 'power accessories', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-103/
1982 Toyota Land Cruiser FJ60,"49,000",1/10/2022,"21,044","1,174",96,47,"simpsonville, south carolina 29681",1982,fj60,106k,refurbished 4.2-liter inline-six,manual,repaint in beige,tan vinyl & cloth upholstery,"['chassis: fj60033913', '170k kilometers (~106k miles) shown', 'refurbished 4.2-liter inline-six', 'four-speed manual transmission', 'repaint in beige', 'tan vinyl & cloth upholstery', 'old man emu suspension lift & shocks', 'aluminum radiator']",https://bringatrailer.com/listing/1982-toyota-land-cruiser-fj60-8/
1985 Toyota Land Cruiser FJ60,"23,250",1/9/2022,"13,278",794,30,46,"leesburg, virginia 20176",1985,fj60,240k,replacement 4.2l 2f inline-six,manual,beige paint w/orange & brown stripes,tan cloth upholstery ,"['chassis: jt3fj60g9f1128557', '240k miles shown', 'replacement 4.2l 2f inline-six', 'four-speed manual transmission ', 'dual-range transfer case', 'beige paint w/orange & brown stripes', 'tan cloth upholstery ', 'chrome 15"" steel wheels', 'manually-locking front hubs', 'power-assisted front disc brakes', 'champion aluminum radiator', 'air conditioning', 'aftermarket am/fm cassette stereo', 'carfax report']",https://bringatrailer.com/listing/1985-toyota-toyota-landcruiser-fj60/
1989 Toyota Land Cruiser FJ62,"48,500",1/8/2022,"12,915",725,51,56,"la pine, oregon 97739",1989,fj62,291k,4.0-liter inline-six,automatic,gray paint,gray cloth & vinyl upholstery,"['chassis: jt3fj62g1k1108696', '291k miles shown, tmu', '4.0-liter inline-six', 'four-speed automatic transmission ', 'dual-range transfer case', 'gray paint', 'gray cloth & vinyl upholstery', '15"" steel wheels', 'manually-locking front hubs', 'old man emu suspension lift', 'kenwood cd stereo', 'air conditioning', 'accident-free carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-120/
No Reserve: Rover V8-Powered 1987 Toyota Land Cruiser 5-Speed,"9,800",1/6/2022,"13,521",716,79,4,"accord, new york 12404",1987,,136k,rover 3.9-liter v8,manual,two-tone metallic blue ,gray cloth and vinyl upholstery,"['chassis: jt3fj60g1h1135506', '136k miles shown, tmu', 'rover 3.9-liter v8', 'five-speed manual transmission', 'two-tone metallic blue ', 'gray cloth and vinyl upholstery', 'polished 15"" wheels', 'split rear tailgate', 'air conditioning', 'kenwood cd stereo', 'partial service records', 'tool kit', 'accident-free carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-96/
1990 Toyota Land Cruiser FJ62,"18,500",1/5/2022,"10,933",709,52,23,"allendale, michigan 49401",1990,fj62,302k,4.0-liter inline-six,automatic,gray paint,gray cloth upholstery,"['chassis: jt3fj62g8l1121009', '302k miles', '4.0-liter inline-six', 'four-speed automatic transmission', 'gray paint', 'gray cloth upholstery', 'all-wheel drive', 'two-speed transfer case', 'chrome-plated 15"" wheels', 'toyota am/fm/cassette stereo', 'air conditioning']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-52/
